Country,Period,Total Exports Value ($US),Customs Import Value (Gen) ($US)
Afghanistan,Jan-15,"31,234,295","1,969,612"
Afghanistan,Feb-15,"37,258,645","5,899,848"
Afghanistan,Mar-15,"88,786,227","1,447,167"
Afghanistan,Apr-15,"39,725,459","2,804,596"
Afghanistan,May-15,"29,170,536","2,373,845"
Afghanistan,Jun-15,"37,764,776","1,335,968"
Afghanistan,Jul-15,"26,732,565","597,439"
Afghanistan,Aug-15,"29,491,959","972,349"
Afghanistan,Sep-15,"30,605,221","1,254,457"
Afghanistan,Oct-15,"89,580,708","3,133,392"
Afghanistan,Nov-15,"21,834,409","682,892"
Afghanistan,Dec-15,"16,526,724","1,129,686"
Afghanistan,Jan-16,"174,149,992","1,849,499"
Afghanistan,Feb-16,"22,687,231","1,501,741"
Afghanistan,Mar-16,"88,497,655","1,612,984"
Afghanistan,Apr-16,"48,137,822","5,462,302"
Afghanistan,May-16,"116,862,139","1,591,259"
Afghanistan,Jun-16,"54,868,991","2,231,922"
Afghanistan,Jul-16,"66,566,079","2,471,156"
Afghanistan,Aug-16,"47,919,279","2,515,593"
Afghanistan,Sep-16,"23,436,296","6,999,279"
Afghanistan,Oct-16,"78,170,604","2,350,618"
Afghanistan,Nov-16,"142,854,024","3,430,713"
Afghanistan,Dec-16,"49,724,239","1,698,860"
Afghanistan,Jan-17,"26,716,225","1,298,078"
Afghanistan,Feb-17,"77,060,907","2,346,457"
Afghanistan,Mar-17,"38,976,635","970,349"
Afghanistan,Apr-17,"142,041,049","1,413,717"
Afghanistan,May-17,"41,358,090","1,225,195"
Afghanistan,Jun-17,"59,069,779","1,311,197"
Afghanistan,Jul-17,"246,353,544","841,297"
Afghanistan,Aug-17,"67,189,171","494,031"
Afghanistan,Sep-17,"104,029,661","465,931"
Afghanistan,Oct-17,"23,295,134","858,686"
Afghanistan,Nov-17,"82,151,699","846,064"
Afghanistan,Dec-17,"33,990,137","2,352,620"
Afghanistan,Jan-18,"38,624,557","4,716,551"
Afghanistan,Feb-18,"84,951,583","1,239,579"
Afghanistan,Mar-18,"185,040,079","3,008,230"
Afghanistan,Apr-18,"77,188,985","3,695,227"
Afghanistan,May-18,"154,642,007","1,457,008"
Afghanistan,Jun-18,"127,036,912","3,581,818"
Afghanistan,Jul-18,"124,762,078","520,985"
Afghanistan,Aug-18,"78,053,173","2,386,567"
Afghanistan,Sep-18,"65,711,542","1,070,001"
Afghanistan,Oct-18,"139,512,517","3,288,561"
Afghanistan,Nov-18,"91,035,207","3,405,552"
Afghanistan,Dec-18,"60,845,792","1,038,649"
Afghanistan,Jan-19,"60,415,467","1,752,609"
Afghanistan,Feb-19,"53,989,267","3,067,102"
Afghanistan,Mar-19,"97,446,322","3,769,555"
Afghanistan,Apr-19,"92,780,660","4,940,447"
Afghanistan,May-19,"33,811,654","9,117,172"
Afghanistan,Jun-19,"64,503,154","2,835,776"
Afghanistan,Jul-19,"52,718,976","2,081,448"
Afghanistan,Aug-19,"36,058,417","5,991,855"
Afghanistan,Sep-19,"52,779,451","951,434"
Afghanistan,Oct-19,"61,334,603","1,915,013"
Afghanistan,Nov-19,"58,480,638","1,016,288"
Afghanistan,Dec-19,"93,548,958","1,305,375"
Afghanistan,Jan-20,"58,761,945","2,275,711"
Afghanistan,Feb-20,"83,495,690","1,520,881"
Afghanistan,Mar-20,"40,429,401","1,736,881"
Afghanistan,Apr-20,"60,787,299","1,105,020"
Afghanistan,May-20,"47,843,743","590,472"
Afghanistan,Jun-20,"79,863,098","1,425,891"
Afghanistan,Jul-20,"45,716,600","814,840"
Afghanistan,Aug-20,"99,324,802","914,976"
Afghanistan,Sep-20,"48,507,152","1,222,394"
Afghanistan,Oct-20,"46,489,958","2,100,920"
Afghanistan,Nov-20,"36,463,384","2,995,809"
Afghanistan,Dec-20,"25,668,682","1,653,433"
Afghanistan,Jan-21,"15,427,322","1,901,555"
Afghanistan,Feb-21,"117,532,972","1,390,679"
Afghanistan,Mar-21,"50,472,576","2,338,706"
Afghanistan,Apr-21,"16,877,694","2,855,084"
Afghanistan,May-21,"14,301,296","3,068,250"
Afghanistan,Jun-21,"5,107,842","1,683,785"
Afghanistan,Jul-21,"8,633,864","1,919,085"
Afghanistan,Aug-21,"2,907,490","1,432,950"
Afghanistan,Sep-21,"412,808","674,084"
Afghanistan,Oct-21,"531,054","1,775,359"
Afghanistan,Nov-21,"966,948","1,480,744"
Afghanistan,Dec-21,"2,689,085","1,374,020"
Afghanistan,Jan-22,"7,061,634","2,755,228"
Afghanistan,Feb-22,"1,050,759","1,305,945"
Afghanistan,Mar-22,"1,302,643","1,673,444"
Afghanistan,Apr-22,"1,058,876","2,144,377"
Afghanistan,May-22,"760,271","1,253,749"
Afghanistan,Jun-22,"1,965,885","1,727,893"
Afghanistan,Jul-22,"1,424,793","1,562,862"
Afghanistan,Aug-22,"2,082,436","1,338,202"
Afghanistan,Sep-22,"951,177","4,257,329"
Afghanistan,Oct-22,"2,218,572","661,279"
Afghanistan,Nov-22,"895,644","1,920,720"
Afghanistan,Dec-22,"1,031,342","1,771,165"
Afghanistan,Jan-23,"1,913,016","968,704"
Afghanistan,Feb-23,"2,049,948","2,051,814"
Afghanistan,Mar-23,"1,176,740","3,209,930"
Afghanistan,Apr-23,"2,383,546","1,378,415"
Afghanistan,May-23,"1,262,691","2,301,397"
Afghanistan,Jun-23,"2,226,485","1,212,981"
Afghanistan,Jul-23,"2,290,070","679,631"
Afghanistan,Aug-23,"1,327,475","2,301,989"
Afghanistan,Sep-23,"1,982,325","1,356,716"
Afghanistan,Oct-23,"415,346","1,099,836"
Afghanistan,Nov-23,"664,598","1,398,175"
Afghanistan,Dec-23,"31,922,649","1,942,189"
Albania,Jan-15,"2,093,928","24,542,750"
Albania,Feb-15,"2,210,894","2,860,092"
Albania,Mar-15,"3,835,992","2,555,908"
Albania,Apr-15,"4,084,614","14,358,584"
Albania,May-15,"3,096,707","12,453,402"
Albania,Jun-15,"3,221,386","17,515,847"
Albania,Jul-15,"2,078,808","20,781,212"
Albania,Aug-15,"2,241,252","26,709,464"
Albania,Sep-15,"1,903,339","2,656,446"
Albania,Oct-15,"2,009,254","16,441,795"
Albania,Nov-15,"1,809,729","17,517,679"
Albania,Dec-15,"2,311,762","1,688,040"
Albania,Jan-16,"1,736,416","1,613,255"
Albania,Feb-16,"3,429,357","2,419,991"
Albania,Mar-16,"3,198,063","1,478,094"
Albania,Apr-16,"3,444,828","2,095,490"
Albania,May-16,"9,525,669","11,382,911"
Albania,Jun-16,"5,589,270","22,386,733"
Albania,Jul-16,"3,848,630","22,231,965"
Albania,Aug-16,"5,391,733","27,105,354"
Albania,Sep-16,"3,110,767","15,247,986"
Albania,Oct-16,"3,603,363","13,743,513"
Albania,Nov-16,"4,210,043","2,819,030"
Albania,Dec-16,"3,205,276","2,089,349"
Albania,Jan-17,"3,024,330","2,487,946"
Albania,Feb-17,"3,946,890","2,110,351"
Albania,Mar-17,"4,200,007","2,340,633"
Albania,Apr-17,"6,995,374","1,798,567"
Albania,May-17,"5,693,300","5,684,186"
Albania,Jun-17,"4,765,195","2,390,146"
Albania,Jul-17,"4,009,022","3,210,231"
Albania,Aug-17,"4,939,889","4,630,737"
Albania,Sep-17,"3,465,072","6,065,681"
Albania,Oct-17,"5,514,416","2,918,967"
Albania,Nov-17,"4,595,255","3,108,689"
Albania,Dec-17,"10,938,208","4,848,963"
Albania,Jan-18,"3,085,093","5,798,655"
Albania,Feb-18,"7,320,681","6,396,030"
Albania,Mar-18,"6,452,673","5,976,126"
Albania,Apr-18,"4,693,997","4,021,210"
Albania,May-18,"5,001,788","4,315,544"
Albania,Jun-18,"6,554,051","5,257,460"
Albania,Jul-18,"4,881,596","6,568,674"
Albania,Aug-18,"3,987,349","5,583,912"
Albania,Sep-18,"3,471,304","4,096,563"
Albania,Oct-18,"3,489,021","5,530,933"
Albania,Nov-18,"6,372,135","5,705,474"
Albania,Dec-18,"3,890,435","5,876,483"
Albania,Jan-19,"4,235,102","6,440,454"
Albania,Feb-19,"4,694,503","3,260,140"
Albania,Mar-19,"4,742,575","6,154,912"
Albania,Apr-19,"6,451,009","3,685,108"
Albania,May-19,"9,116,453","7,034,642"
Albania,Jun-19,"7,832,568","5,313,812"
Albania,Jul-19,"5,104,141","3,053,249"
Albania,Aug-19,"22,138,132","5,566,449"
Albania,Sep-19,"3,480,422","4,097,318"
Albania,Oct-19,"5,605,086","4,628,601"
Albania,Nov-19,"7,912,681","3,581,026"
Albania,Dec-19,"4,945,910","3,559,910"
